path,mean_mfcc,std_mfcc,maxv_mfcc,minv_mfcc,median_mfcc,skew_mfcc,kurt_mfcc,q1_mfcc,q3_mfcc,mode_mfcc,iqr_mfcc,source,class
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_bar_fear.wav,-22.101484,100.85572,146.37729,-681.1286,-4.1224427,-3.5637345,12.449193,-16.28123426437378,8.268399238586426,-434.15347,24.549633502960205,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_gaze_fear.wav,-21.81844,99.43947,126.61563,-696.1334,-2.6821165,-3.7409446,13.175386,-14.530827045440674,8.105134010314941,-434.6758,22.635961055755615,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_near_fear.wav,-22.646181,94.56121,139.79529,-627.723,-5.265831,-3.6501293,12.789972,-17.467280387878418,6.367807626724243,-415.60352,23.83508801460266,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_beg_fear.wav,-21.8211,95.99458,128.9518,-644.1848,-3.2712736,-3.6649017,12.845008,-15.818864583969116,7.782003998756409,-414.08484,23.600868582725525,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_soap_fear.wav,-21.55618,98.90538,130.93103,-685.0327,-2.621573,-3.678127,12.875223,-14.92732286453247,9.956834316253662,-427.84665,24.884157180786133,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_bone_fear.wav,-20.495916,95.70427,137.241,-653.09076,-3.021844,-3.5958655,12.507008,-17.004730701446533,9.415899753570557,-410.8843,26.42063045501709,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_room_fear.wav,-22.451233,101.300735,155.8555,-650.61365,-4.9446645,-3.6371531,12.771718,-15.992241859436035,7.2238171100616455,-441.97772,23.21605896949768,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_wheat_fear.wav,-21.89135,95.95526,107.54648,-658.95905,-3.660863,-3.711355,13.058541,-16.047170639038086,8.26711392402649,-421.68045,24.314284563064575,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_time_fear.wav,-20.872196,87.58739,133.40385,-646.5354,-4.9924116,-3.564624,12.445365,-17.724194049835205,5.929958939552307,-376.80768,23.654152989387512,TESS,fear
/home/alaa/Downloads/Concordia/Semesters/Fall 2022-2023/INSE6220/Project/INSE6220/INSE6220_Project/INSE6220_Project/TESS Toronto emotional speech set data/OAF_Fear/OAF_jug_fear.wav,-21.632511,103.34885,125.7755,-678.4813,-2.7492893,-3.6522577,12.821523,-14.08041000366211,9.338724136352539,-442.6718,23.41913414001465,TESS,fear
